AID#,Orig pre-sprted Order,Grant #,Assay Name,Assay Target,Assay Sub-type,Assay Center,Grant Title,Assay Provider,Project UID,summary_aid_and_NA,summary_aid
588738,,MH082371-01A2,PC3M Migration assay using BellBrook�s iuvo technology (run by AP),Secondary,MOA Assay,NCGC,A Novel HTP Assay for Identification of Compounds that Reduce PNC Prevalence,Sui Huang,291,#N/A,
588739,,MH082371-01A2,Soft Agar Assay for Colony Formation (AP),Secondary,Selectivity/Specificity Assay,NCGC,A Novel HTP Assay for Identification of Compounds that Reduce PNC Prevalence,Sui Huang,291,#N/A,
588740,,MH082371-01A2,PC3M ATPlite,Secondary,Other,NCGC,A Novel HTP Assay for Identification of Compounds that Reduce PNC Prevalence,Sui Huang,291,#N/A,
602443,,MH082371-01A2,Aqueous Solubility of PNC Inhibitors,Secondary,,NCGC,A Novel HTP Assay for Identification of Compounds that Reduce PNC Prevalence,Sui Huang,291,#N/A,
602444,,MH082371-01A2,Mouse Liver Microsome (MLM)Stability without NADPH of PNC Inhibitors,Secondary,,NCGC,A Novel HTP Assay for Identification of Compounds that Reduce PNC Prevalence,Sui Huang,291,#N/A,
602445,,MH082371-01A2,Mouse Liver Microsome (MLM)Stability with NADPH of PNC Inhibitors,Secondary,,NCGC,A Novel HTP Assay for Identification of Compounds that Reduce PNC Prevalence,Sui Huang,291,#N/A,
602446,,MH082371-01A2,Efflux Ratio of PNC Inhibitors,Secondary,,NCGC,A Novel HTP Assay for Identification of Compounds that Reduce PNC Prevalence,Sui Huang,291,#N/A,
2073,,MH085675-01,uHTS Homogeneous Europium/APC Time-Resolved Fluorescence Resonance Energy Transfer (HTRF) Assay,Primary,--,Burnham,HTS Screen for Small Molecule Inhibitors of Mint-PDZ Domain,Ilya Bezprozvanny,292,#N/A,
2073,,MH085675-01,uHTS Homogeneous Europium/APC Time-Resolved Fluorescence Resonance Energy Transfer (HTRF) Assay,Primary,--,Burnham,HTS Screen for Small Molecule Inhibitors of Mint-PDZ Domain,Ilya Bezprozvanny,292,#N/A,
2091,,MH085675-01,uHTS Homogeneous Terbium Time-Resolved Fluorescence Resonance Energy Transfer (HTRF) Assay � Terbium Fluorescein,Secondary,Alternate Assay,Burnham,HTS Screen for Small Molecule Inhibitors of Mint-PDZ Domain,Ilya Bezprozvanny,292,#N/A,
2093,,MH085675-01,uHTS Homogeneous Europium/APC Time-Resolved Fluorescence Resonance Energy Transfer (HTRF) Assay,Primary,--,Burnham,HTS Screen for Small Molecule Inhibitors of Mint-PDZ Domain,Ilya Bezprozvanny,292,2093,2093
2489,,MH085675-01,uHTS Homogeneous Terbium Time-Resolved Fluorescence Resonance Energy Transfer (HTRF) Assay � Terbium Fluorescein,Secondary,Alternate Assay,Burnham,HTS Screen for Small Molecule Inhibitors of Mint-PDZ Domain,Ilya Bezprozvanny,292,#N/A,
2496,,MH085675-01,bio-NC and GST-Mint1-PDZ. Biotinylated-GST Counterscreen assay for biotin SA- capture assay interference,Secondary,Counter-screen Assay,Burnham,HTS Screen for Small Molecule Inhibitors of Mint-PDZ Domain,Ilya Bezprozvanny,292,#N/A,
434980,,MH085675-01,bio-NC and GST-Mint1-PDZ. Biotinylated-GST Counterscreen assay for biotin SA- capture assay interference,Secondary,Counter-screen Assay,Burnham,HTS Screen for Small Molecule Inhibitors of Mint-PDZ Domain,Ilya Bezprozvanny,292,#N/A,
1415,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
1423,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
1439,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
1440,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
1441,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
1504,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,1504,1504
1775,,NS057014-01,Profiling compound fluorescence on Avidin Beads with 488 nm excitation and 530 nm emission,Secondary,Other,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
1775,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
1783,,NS057014-01,Counter screen for biotinylated proteins binding to avidin beads,Secondary,Counter-screen Assay,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
1783,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
1836,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
1837,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
1838,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
1840,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
1841,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
1869,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
1871,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
1872,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
1884,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
1888,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
1993,,NS057014-01,FPR-induced VLA-4 exposure in U937 cells,Secondary,Alternate Assay,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
2295,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
2296,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
2298,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
2307,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
2311,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
2826,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
2827,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
2828,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
2829,,NS057014-01,Multiplexed high-throughput screen for small molecule regulators of RGS family protein interactions,Primary,--,UNM,Multiplex flow cytometry screens for RGS inhibitors,Richard Neubig,293,#N/A,
2300,,NS061718-01,"TR-FRET-based primary biochemical high throughput screening assay to identify agonists of nuclear receptor subfamily 2, group E, member 3 (NR2E3)",Primary,--,Scripps,Development of the HTS assay for agonists of the orphan nuclear receptor NR2E3,Konstantin Petrukhin,294,#N/A,
2325,,NS061718-01,"TR-FRET-based primary biochemical high throughput screening assay to identify agonists of nuclear receptor subfamily 2, group E, member 3 (NR2E3)",Primary,--,Scripps,Development of the HTS assay for agonists of the orphan nuclear receptor NR2E3,Konstantin Petrukhin,294,2325,2325
2379,,NS061718-01,"TR-FRET-based primary biochemical high throughput screening assay to identify agonists of nuclear receptor subfamily 2, group E, member 3 (NR2E3)",Primary,--,Scripps,Development of the HTS assay for agonists of the orphan nuclear receptor NR2E3,Konstantin Petrukhin,294,#N/A,
2758,,NS061718-01,"TR-FRET-based primary biochemical high throughput screening assay to identify agonists of nuclear receptor subfamily 2, group E, member 3 (NR2E3)",Primary,--,Scripps,Development of the HTS assay for agonists of the orphan nuclear receptor NR2E3,Konstantin Petrukhin,294,#N/A,
2759,,NS061718-01,"Counterscreen for agonists of nuclear receptor subfamily 2, group E, member 3 (NR2E3): TR-FRET-based biochemical high throughput dose response assay to identify agonists of the interaction between peroxisome proliferator-activated receptor gamma (PPARg) and nuclear receptor co-repressor 2 (NCOR2)",Secondary,Counter-screen Assay,Scripps,Development of the HTS assay for agonists of the orphan nuclear receptor NR2E3,Konstantin Petrukhin,294,#N/A,
463256,,NS061718-01,"TR-FRET-based primary biochemical high throughput screening assay to identify agonists of nuclear receptor subfamily 2, group E, member 3 (NR2E3)",Primary,--,Scripps,Development of the HTS assay for agonists of the orphan nuclear receptor NR2E3,Konstantin Petrukhin,294,#N/A,
504787,,NS061718-01,Late stage assay provider counterscreen for the probe development project to identify agonists of NR2E3: Luminescence-based cell-based assay to identify modulators of the interaction of PPARg and NCOR (AP),Secondary,Selectivity/Specificity Assay,Scripps,Development of the HTS assay for agonists of the orphan nuclear receptor NR2E3,Konstantin Petrukhin,294,#N/A,
602229,,NS061718-01,"Luminescence-based cell-based high throughput screening assay to identify agonists/inverse agonists of nuclear receptor subfamily 2, group E, member 3 (NR2E3).",Secondary,Alternate Assay,Scripps,Development of the HTS assay for agonists of the orphan nuclear receptor NR2E3,Konstantin Petrukhin,294,#N/A,
624378,,NS061718-01,"Luminescence-based cell-based high throughput screening assay to identify agonists/inverse agonists of nuclear receptor subfamily 2, group E, member 3 (NR2E3).",Secondary,Alternate Assay,Scripps,Development of the HTS assay for agonists of the orphan nuclear receptor NR2E3,Konstantin Petrukhin,294,#N/A,
1634,,MH085679-01,"Human pyruvate kinase M2 (PK-M2), a splice isoform of pyruvate kinase that is specifically expressed in tumor cells, assay using Kinase-Glo reagent: Inhibitors",Primary,--,NCGC,Discovery of Lead Compounds which Modulate Tumor Specific Pyruvate Kinase M2 Activity,Matthew Vander Heiden,295,#N/A,
2263,,MH085679-01,"Human pyruvate kinase M2 (PK-M2), a splice isoform of pyruvate kinase that is specifically expressed in tumor cells, assay using Kinase-Glo reagent: Inhibitors",Primary,--,NCGC,Discovery of Lead Compounds which Modulate Tumor Specific Pyruvate Kinase M2 Activity,Matthew Vander Heiden,295,#N/A,
2263,,MH085679-01,Confirmation Concentration-Response Assay for Inhibitors of Human Muscle isoform 2 Pyruvate Kinase,Secondary,--,NCGC,Discovery of Lead Compounds which Modulate Tumor Specific Pyruvate Kinase M2 Activity,Matthew Vander Heiden,295,#N/A,
2263,,MH085679-01,"Human pyruvate kinase M2 (PK-M2), a splice isoform of pyruvate kinase that is specifically expressed in tumor cells, assay using Kinase-Glo reagent: Inhibitors",Primary,--,NCGC,Discovery of Lead Compounds which Modulate Tumor Specific Pyruvate Kinase M2 Activity,Matthew Vander Heiden,295,#N/A,
2263,,MH085679-01,"Human pyruvate kinase M2 (PK-M2), a splice isoform of pyruvate kinase that is specifically expressed in tumor cells, assay using Kinase-Glo reagent: Inhibitors",Primary,--,NCGC,Discovery of Lead Compounds which Modulate Tumor Specific Pyruvate Kinase M2 Activity,Matthew Vander Heiden,295,#N/A,
2265,,MH085679-01,Counterscreen against purified firefly luciferase (FLuc) enzyme to eliminate FLuc modulators,Secondary,--,NCGC,Discovery of Lead Compounds which Modulate Tumor Specific Pyruvate Kinase M2 Activity,Matthew Vander Heiden,295,#N/A,
2267,,MH085679-01,Confirmation in hPKM2-LDH assay run in Kinetic Mode following NADH depletion: Inhibitors,Secondary,--,NCGC,Discovery of Lead Compounds which Modulate Tumor Specific Pyruvate Kinase M2 Activity,Matthew Vander Heiden,295,#N/A,
2276,,MH085679-01,"Human pyruvate kinase M2 (PK-M2), a splice isoform of pyruvate kinase that is specifically expressed in tumor cells, assay using Kinase-Glo reagent: Inhibitors",Primary,--,NCGC,Discovery of Lead Compounds which Modulate Tumor Specific Pyruvate Kinase M2 Activity,Matthew Vander Heiden,295,2276,2276
1510,,AI074564,Primary Cell-Based Assay to Identify Antagonists of the Sphingosine 1-Phosphate Receptor 4 (S1P4),Primary,--,Scripps,Novel Chemical and Immunological Approaches to Influenza Therapy,Michael Oldstone,296,#N/A,
1524,,AI074564,Primary Cell-Based Assay to Identify Antagonists of the Sphingosine 1-Phosphate Receptor 4 (S1P4),Primary,--,Scripps,Novel Chemical and Immunological Approaches to Influenza Therapy,Michael Oldstone,296,#N/A,
1564,,AI074564,Counterscreen assay for S1P4 antagonists: Cell-based high throughput screening assay to identify antagonists of the Sphingosine 1-Phosphate Receptor 1 (S1P1),Secondary,Counter-screen Assay,Scripps,Novel Chemical and Immunological Approaches to Influenza Therapy,Michael Oldstone,296,#N/A,
1692,,AI074564,Primary Cell-Based Assay to Identify Antagonists of the Sphingosine 1-Phosphate Receptor 4 (S1P4),Primary,--,Scripps,Novel Chemical and Immunological Approaches to Influenza Therapy,Michael Oldstone,296,#N/A,
1821,,AI074564,Counterscreen assay for S1P4 antagonists: Cell-based high throughput screening assay to identify antagonists of the Sphingosine 1-Phosphate Receptor 1 (S1P1),Secondary,Counter-screen Assay,Scripps,Novel Chemical and Immunological Approaches to Influenza Therapy,Michael Oldstone,296,#N/A,
1853,,AI074564,Primary Cell-Based Assay to Identify Antagonists of the Sphingosine 1-Phosphate Receptor 4 (S1P4),Primary,--,Scripps,Novel Chemical and Immunological Approaches to Influenza Therapy,Michael Oldstone,296,1853,1853
2332,,AI074564,Fluorescence dose response cell-based screening assay for antagonists of the Sphingosine 1-Phosphate Receptor 4 (S1P4),Secondary,Counter-screen Assay,Scripps,Novel Chemical and Immunological Approaches to Influenza Therapy,Michael Oldstone,296,#N/A,
2346,,AI074564,Fluorescence dose response cell-based screening assay for antagonists of the Sphingosine 1-Phosphate Receptor 4 (S1P4),Secondary,Counter-screen Assay,Scripps,Novel Chemical and Immunological Approaches to Influenza Therapy,Michael Oldstone,296,#N/A,
2349,,AI074564,Counterscreen assay for S1P4 antagonists: Cell-based assay to identify antagonists of the Sphingosine 1-Phosphate Receptor 3 (S1P3),Secondary,Counter-screen Assay,Scripps,Novel Chemical and Immunological Approaches to Influenza Therapy,Michael Oldstone,296,#N/A,
2350,,AI074564,Counterscreen assay for S1P4 antagonists: Cell-based assay to identify antagonists of the Sphingosine 1-Phosphate Receptor 5 (S1P5),Secondary,Counter-screen Assay,Scripps,Novel Chemical and Immunological Approaches to Influenza Therapy,Michael Oldstone,296,#N/A,
2351,,AI074564,Counterscreen assay for S1P4 antagonists: Cell-based assay to identify antagonists of the Sphingosine 1-Phosphate Receptor 1 (S1P1):384 Format,Secondary,Counter-screen Assay,Scripps,Novel Chemical and Immunological Approaches to Influenza Therapy,Michael Oldstone,296,#N/A,
2354,,AI074564,Counterscreen assay for S1P4 antagonists: Cell-based assay to identify antagonists of the Sphingosine 1-Phosphate Receptor 2 (S1P2),Secondary,Counter-screen Assay,Scripps,Novel Chemical and Immunological Approaches to Influenza Therapy,Michael Oldstone,296,#N/A,
489009,,AI074564,Late-stage results from the probe development effort to identify antagonists of the Sphingosine 1-Phosphate Receptor 4 (S1P4): luminescence-based cell-based dose response assay to determine cytotoxicity of antagonist compounds,Secondary,Counter-screen Assay,Scripps,Novel Chemical and Immunological Approaches to Influenza Therapy,Michael Oldstone,296,#N/A,
489017,,AI074564,Counterscreen panel assay for S1P4 antagonists: Ricerca HitProfilingScreen + CYP450,Secondary,Counter-screen Assay,Scripps,Novel Chemical and Immunological Approaches to Influenza Therapy,Michael Oldstone,296,#N/A,
1832,,NS059380-01,MEX-5 with TCR2 (Temporal Control Region; the RNA element in 3�-UTR of glp-1) RNA fluorescence polarization HTS assay: Inhibitors of MEX-5,Primary,--,Broad,Small Molecule effectors of maternal gene expression in C. elegans embryogenesis,Sean Ryder,297,#N/A,
1833,,NS059380-01,MEX-5 with TCR2 (Temporal Control Region; the RNA element in 3�-UTR of glp-1) RNA fluorescence polarization HTS assay: Inhibitors of MEX-5,Primary,--,Broad,Small Molecule effectors of maternal gene expression in C. elegans embryogenesis,Sean Ryder,297,1833,1833
1959,,NS059380-01,Toxicity/Cell viability assay for eliminating toxic hits in the HB101 E. coli strain using BackTiter-Glo,Secondary,Counter-screen Assay,Broad,Small Molecule effectors of maternal gene expression in C. elegans embryogenesis,Sean Ryder,297,#N/A,
1960,,NS059380-01,MEX-5 with TCR2 (Temporal Control Region; the RNA element in 3�-UTR of glp-1) RNA fluorescence polarization HTS assay: Inhibitors of MEX-5,Primary,--,Broad,Small Molecule effectors of maternal gene expression in C. elegans embryogenesis,Sean Ryder,297,#N/A,
1964,,NS059380-01,Dose response fluorescence polarization assay for inhibitors of POS-1 interaction with MEX-3 RNA. Eliminate non-specific MEX-5 inhibitors,Secondary,Counter-screen Assay,Broad,Small Molecule effectors of maternal gene expression in C. elegans embryogenesis,Sean Ryder,297,#N/A,
2738,,NS059380-01,Dose response fluorescence polarization assay for inhibitors of POS-1 interaction with MEX-3 RNA. Eliminate non-specific MEX-5 inhibitors,Secondary,Counter-screen Assay,Broad,Small Molecule effectors of maternal gene expression in C. elegans embryogenesis,Sean Ryder,297,#N/A,
2739,,NS059380-01,MEX-5 with TCR2 (Temporal Control Region; the RNA element in 3�-UTR of glp-1) RNA fluorescence polarization HTS assay: Inhibitors of MEX-5,Primary,--,Broad,Small Molecule effectors of maternal gene expression in C. elegans embryogenesis,Sean Ryder,297,#N/A,
449745,,NS059380-01,MEX-5 with TCR2 (Temporal Control Region; the RNA element in 3�-UTR of glp-1) RNA fluorescence polarization HTS assay: Inhibitors of MEX-5,Primary,--,Broad,Small Molecule effectors of maternal gene expression in C. elegans embryogenesis,Sean Ryder,297,#N/A,
493087,,DA024888-01,Fluorescence polarization primary biochemical HTS Assay to identify IDE activators,Primary,--,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,298,#N/A,
493124,,DA024888-01,Fluorescence polarization primary biochemical HTS Assay to identify IDE activators,Primary,--,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,298,493124,493124
588439,,DA024888-01,Fluorescence polarization primary biochemical HTS Assay to identify IDE activators,Primary,--,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,298,#N/A,
588440,,DA024888-01,Absorbance counterscreen assay for IDE activators: cell-based HTS assay to identify cytotoxic compounds,Secondary,--,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,298,#N/A,
588442,,DA024888-01,Counterscreen for IDE activators: fluorescence polarization-based biochemical assay to identify fluorescence artifacts (cell-free),Secondary,Counter-screen Assay,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,298,#N/A,
588681,,DA024888-01,Counterscreen for IDE activators: fluorescence polarization-based biochemical assay to identify activators of the wildtype recombinant IDE (cell-free),Secondary,Counter-screen Assay,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,298,#N/A,
624035,,DA024888-01,Counterscreen for IDE activators: fluorescence polarization-based biochemical assay to identify fluorescence artifacts (cell-free),Secondary,Counter-screen Assay,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,298,#N/A,
624043,,DA024888-01,Counterscreen for IDE activators: fluorescence polarization-based biochemical assay to identify activators of the wildtype recombinant IDE (cell-free),Secondary,Counter-screen Assay,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,298,#N/A,
434962,,DA024888-01,Fluorescence polarization primary biochemical high throughput screening assay to identify IDE inhibitors,Primary,--,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,299,#N/A,
434984,,DA024888-01,Fluorescence polarization primary biochemical high throughput screening assay to identify IDE inhibitors,Primary,--,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,299,434984,434984
435028,,DA024888-01,Fluorescence polarization primary biochemical high throughput screening assay to identify IDE inhibitors,Primary,--,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,299,#N/A,
449730,,DA024888-01,Counterscreen for IDE inhibitors: Luminescence-based cell-based high throughput dose response assay to identify compounds that are cytotoxic to HEK cells.,Secondary,Counter-screen Assay,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,299,#N/A,
463220,,DA024888-01,Fluorescence polarization primary biochemical high throughput screening assay to identify IDE inhibitors,Primary,--,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,299,#N/A,
463221,,DA024888-01,Counterscreen for IDE inhibitors: Luminescence-based cell-based high throughput dose response assay to identify compounds that are cytotoxic to HEK cells.,Secondary,Counter-screen Assay,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,299,#N/A,
588709,,DA024888-01,Counterscreen for IDE inhibitors: Luminescence-based cell-based high throughput dose response assay to identify compounds that are cytotoxic to HEK cells.,Secondary,Counter-screen Assay,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,299,#N/A,
588711,,DA024888-01,Late stage Counterscreen for IDE inhibitors: fluorescence-based biochemical profiling assay to identify fluorescence artifacts/optically active compounds. (cell-free),Secondary,Alternate Assay,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,299,#N/A,
588712,,DA024888-01,Fluorescence polarization primary biochemical high throughput screening assay to identify IDE inhibitors,Primary,--,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,299,#N/A,
588718,,DA024888-01,Late stage assay provider counterscreen for IDE inhibitors: Fluorescence dequenching assay to identify fluorescent artifacts (QFRET) (AP),Secondary,Alternate Assay,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,299,#N/A,
624066,,DA024888-01,Late stage assay provider counterscreen for IDE inhibitors: Fluorescence dequenching assay to identify fluorescent artifacts (QFRET) (AP),Secondary,Alternate Assay,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,299,#N/A,
624067,,DA024888-01,Late stage Counterscreen for IDE inhibitors: fluorescence polarization-based biochemical assay to identify inhibitors of the wildtype recombinant IDE (cell-free),Secondary,Alternate Assay,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,299,#N/A,
624306,,DA024888-01,Late stage Counterscreen for IDE inhibitors: fluorescence polarization-based biochemical assay to identify inhibitors of the cysteine-free mutant recombinant IDE. (cell-free),Secondary,Alternate Assay,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,299,#N/A,
624338,,DA024888-01,Late stage Counterscreen for IDE inhibitors: fluorescence polarization-based biochemical assay to identify inhibitors of the cysteine-free mutant recombinant IDE. (cell-free),Secondary,Alternate Assay,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,299,#N/A,
624340,,DA024888-01,Late stage assay provider counterscreen for IDE inhibitors: Fluorescence dequenching assay to identify fluorescent artifacts (QFRET) (AP),Secondary,Alternate Assay,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,299,#N/A,
624353,,DA024888-01,Late stage Counterscreen for IDE inhibitors: fluorescence-based biochemical profiling assay to identify fluorescence artifacts/optically active compounds. (cell-free),Secondary,Alternate Assay,Scripps,HTS for Modulators of Beta-Amyloid Catabolism by Insulin-Degrading Enzyme,Malcolm Leissring,299,#N/A,
1515,,CA087660-05,Fluorescence polarization-based primary biochemical assay to identify inhibitors of RBBP9,Primary,--,Scripps,Chemical Approaches for Activity-Based Proteomics,Benjamin Cravatt,300,#N/A,
1537,,CA087660-05,Fluorescence polarization-based primary biochemical assay to identify inhibitors of RBBP9,Primary,--,Scripps,Chemical Approaches for Activity-Based Proteomics,Benjamin Cravatt,300,#N/A,
1790,,CA087660-05,Fluorescence polarization-based primary biochemical assay to identify inhibitors of RBBP9,Primary,--,Scripps,Chemical Approaches for Activity-Based Proteomics,Benjamin Cravatt,300,1790,1790
1790,,CA087660-05,Fluorescence Polarization-based biochemical assay to identify inhibitors of serine hydrolase family member FAM 108B,Secondary,Counter-screen Assay,Scripps,Chemical Approaches for Activity-Based Proteomics,Benjamin Cravatt,300,1790,1790
1790,,CA087660-05,Gel-based competitive activity-based protein profiling (ABPP) fluorescence polarization-based biochemical assay to identify inhibitors of RBBP9 (run by AP),Secondary,Selectivity/Specificity Assay,Scripps,Chemical Approaches for Activity-Based Proteomics,Benjamin Cravatt,300,1790,1790
1947,,CA087660-05,Fluorescence Polarization-based biochemical assay to identify inhibitors of serine hydrolase family member FAM 108B,Secondary,Counter-screen Assay,Scripps,Chemical Approaches for Activity-Based Proteomics,Benjamin Cravatt,300,#N/A,
1974,,CA087660-05,Fluorescence Polarization-based biochemical assay to identify inhibitors of oxidoreductase glutathione S-transferase omega 1(GSTO1),Secondary,Counter-screen Assay,Scripps,Chemical Approaches for Activity-Based Proteomics,Benjamin Cravatt,300,#N/A,
1978,,CA087660-05,Fluorescence Polarization-based biochemical assay to identify inhibitors of serine hydrolase family member FAM 108B,Secondary,Counter-screen Assay,Scripps,Chemical Approaches for Activity-Based Proteomics,Benjamin Cravatt,300,#N/A,
